"species","date","geo_group","region","losses","dead","discarded","escaped","other"
"rainbowtrout",2024-08-01,"area","area_3",513824,400853,20344,63,92564
"rainbowtrout",2024-07-01,"area","area_1",701018,578711,19390,668,102249
"salmon",2022-11-01,"area","area_4",842823,632882,31910,606,177425
"rainbowtrout",2023-12-01,"area","area_1",935393,747130,27831,723,159709
"rainbowtrout",2021-11-01,"area","area_4",710339,624098,24852,82,61307
"salmon",2024-09-01,"area","area_3",725344,625857,21150,638,77699
"rainbowtrout",2022-05-01,"area","area_1",872062,699323,30443,773,141523
"salmon",2021-11-01,"area","area_1",909322,767355,43935,649,97383
"rainbowtrout",2020-04-01,"area","area_4",879787,781045,18192,208,80342
"salmon",2023-02-01,"area","area_1",594432,449973,17068,573,126818
"rainbowtrout",2023-02-01,"area","area_5",895773,737407,34380,416,123570
"salmon",2024-04-01,"area","area_4",673408,522337,30018,226,120827
"salmon",2024-09-01,"area","area_2",833229,658215,38575,589,135850
"salmon",2023-12-01,"area","area_3",750625,580512,17169,631,152313
"salmon",2023-08-01,"area","area_5",549256,428435,13358,477,106986
"salmon",2021-09-01,"area","area_2",563430,494821,12522,247,55840
"salmon",2021-03-01,"area","area_1",818025,711133,23399,325,83168
"rainbowtrout",2020-09-01,"area","area_5",527900,409179,25049,192,93480
"salmon",2023-03-01,"area","area_1",925397,707242,29591,744,187820
"salmon",2023-10-01,"area","area_5",524557,390452,15488,117,118500
"rainbowtrout",2020-08-01,"area","area_2",523355,435413,23025,70,64847
"rainbowtrout",2021-05-01,"area","area_4",971321,772390,24258,108,174565
"salmon",2021-08-01,"area","area_1",628737,540782,13072,259,74624
"salmon",2020-05-01,"area","area_4",758499,580484,21186,465,156364
"salmon",2022-02-01,"area","area_1",762637,680058,36056,419,46104
"rainbowtrout",2021-05-01,"area","area_1",966418,753010,30756,650,182002
"salmon",2021-12-01,"area","area_5",882341,680454,19588,161,182138
"rainbowtrout",2022-07-01,"area","area_5",755674,543448,33074,315,178837
"salmon",2021-04-01,"area","area_1",793633,564252,19582,705,209094
"salmon",2023-01-01,"area","area_2",734006,635097,20550,549,77810
"rainbowtrout",2021-02-01,"area","area_3",745928,551246,31031,501,163150
"rainbowtrout",2021-05-01,"area","area_3",684407,606757,16734,391,60525
"rainbowtrout",2022-02-01,"area","area_2",644277,501415,22337,142,120383
"salmon",2023-09-01,"area","area_2",619072,509943,14553,89,94487
"salmon",2020-06-01,"area","area_4",875344,714156,41943,690,118555
"rainbowtrout",2024-09-01,"area","area_4",790429,689730,34426,704,65569
"rainbowtrout",2022-05-01,"area","area_5",924434,678531,31589,551,213763
"salmon",2022-01-01,"area","area_4",719608,566521,16140,98,136849
"rainbowtrout",2023-11-01,"area","area_5",838938,660344,25284,272,153038
"salmon",2022-10-01,"area","area_3",556070,434167,15099,438,106366
"rainbowtrout",2020-06-01,"area","area_4",621050,550507,27206,378,42959
"rainbowtrout",2023-02-01,"area","area_1",756828,667797,21012,84,67935
"rainbowtrout",2020-04-01,"area","area_5",613873,455742,17297,174,140660
"rainbowtrout",2022-01-01,"area","area_2",575693,422587,12025,368,140713
"rainbowtrout",2023-07-01,"area","area_5",720826,541363,15312,147,164004
"salmon",2024-04-01,"area","area_5",665770,540036,14706,635,110393
"rainbowtrout",2023-05-01,"area","area_4",615888,534323,12659,393,68513
"rainbowtrout",2022-12-01,"area","area_4",584108,478695,24388,118,80907
"rainbowtrout",2023-05-01,"area","area_5",686869,604749,19958,650,61512
"salmon",2020-10-01,"area","area_4",989581,810103,31647,257,147574
"rainbowtrout",2023-05-01,"area","area_2",899122,663094,35498,462,200068
"rainbowtrout",2024-09-01,"area","area_1",986990,856420,39281,206,91083
"rainbowtrout",2020-01-01,"area","area_5",852964,686320,25523,637,140484
"salmon",2021-05-01,"area","area_5",652701,547961,25730,569,78441
"salmon",2024-02-01,"area","area_1",600276,452843,27433,96,119904
"rainbowtrout",2022-06-01,"area","area_4",836003,621090,36191,834,177888
"rainbowtrout",2022-06-01,"area","area_3",775939,622677,38072,79,115111
"rainbowtrout",2024-04-01,"area","area_4",709744,622577,27072,478,59617
"salmon",2023-06-01,"area","area_2",601748,479261,18772,410,103305
"rainbowtrout",2023-01-01,"area","area_3",552229,488949,17033,308,45939
"rainbowtrout",2024-09-01,"area","area_2",584612,521588,26184,203,36637
"rainbowtrout",2024-05-01,"area","area_1",928504,814306,35089,99,79010
"rainbowtrout",2022-10-01,"area","area_4",717559,622331,22765,194,72269
"salmon",2023-11-01,"area","area_5",583365,436363,12543,175,134284
"salmon",2022-12-01,"area","area_5",546199,430936,12659,537,102067
"rainbowtrout",2020-09-01,"area","area_1",777530,593302,33760,410,150058
"salmon",2023-06-01,"area","area_3",960504,689553,39045,120,231786
"rainbowtrout",2023-01-01,"area","area_1",554207,455518,14973,375,83341
"rainbowtrout",2021-10-01,"area","area_5",784466,629153,17475,415,137423
"salmon",2023-04-01,"area","area_2",933642,669498,36962,428,226754
"salmon",2024-12-01,"area","area_3",903232,792050,18368,521,92293
"salmon",2020-11-01,"area","area_2",912959,649597,35196,505,227661
"salmon",2024-02-01,"area","area_4",932779,771422,19919,206,141232
"salmon",2024-10-01,"area","area_5",838506,716429,36984,797,84296
"rainbowtrout",2024-04-01,"area","area_1",638757,493020,18732,554,126451
"salmon",2021-06-01,"area","area_4",716960,597981,23523,441,95015
"rainbowtrout",2020-12-01,"area","area_3",640291,518740,29188,514,91849
"salmon",2022-09-01,"area","area_4",588857,502984,20066,451,65356
"salmon",2023-07-01,"area","area_1",738456,609507,17561,652,110736
"rainbowtrout",2022-08-01,"area","area_5",824089,593919,27445,288,202437
"salmon",2022-05-01,"area","area_4",711784,508337,29849,695,172903
"salmon",2021-02-01,"area","area_1",867489,698412,18060,280,150737
"rainbowtrout",2020-02-01,"area","area_5",829550,695582,24090,602,109276
"rainbowtrout",2023-11-01,"area","area_4",552681,485667,15189,58,51767
"salmon",2024-10-01,"area","area_1",657707,485452,28706,435,143114
"salmon",2022-08-01,"area","area_4",558584,490238,21034,456,46856
"salmon",2024-04-01,"area","area_1",687069,543348,28055,369,115297
"salmon",2022-10-01,"area","area_4",836221,657510,18629,602,159480
"rainbowtrout",2020-11-01,"area","area_1",896233,742224,29906,508,123595
"rainbowtrout",2022-11-01,"area","area_2",936993,820983,19444,239,96327
"rainbowtrout",2024-12-01,"area","area_2",883511,725044,20535,880,137052
"rainbowtrout",2021-05-01,"area","area_5",601233,490843,20887,506,88997
"salmon",2021-12-01,"area","area_2",914314,788071,21202,377,104664
"salmon",2023-12-01,"area","area_5",670342,576228,20295,142,73677
"rainbowtrout",2023-05-01,"area","area_3",516708,399537,19006,75,98090
"salmon",2021-10-01,"area","area_5",638389,502438,28370,413,107168
"salmon",2020-01-01,"area","area_5",501074,365441,18542,386,116705
"salmon",2023-08-01,"area","area_4",503832,451433,15965,126,36308
"rainbowtrout",2024-10-01,"area","area_1",585951,479817,12027,283,93824
"salmon",2021-03-01,"area","area_4",728030,584580,18006,399,125045
"rainbowtrout",2024-05-01,"area","area_2",517856,381445,11385,357,124669
"salmon",2021-11-01,"area","area_4",833729,676077,34038,139,123475
"rainbowtrout",2023-04-01,"area","area_4",688887,594815,15253,120,78699
"rainbowtrout",2023-10-01,"area","area_4",939999,793444,33756,691,112108
"rainbowtrout",2023-07-01,"area","area_3",581777,427534,16775,216,137252
"rainbowtrout",2020-10-01,"area","area_2",511938,367141,15825,366,128606
"salmon",2020-12-01,"area","area_2",791812,610390,34499,690,146233
"salmon",2021-08-01,"area","area_2",510406,438564,11823,187,59832
"salmon",2021-08-01,"area","area_5",913727,796171,32619,845,84092
"rainbowtrout",2024-02-01,"area","area_3",597787,490811,27358,474,79144
"salmon",2021-06-01,"area","area_3",886107,727835,37582,234,120456
"salmon",2022-09-01,"area","area_3",786173,637201,36413,747,111812
"salmon",2024-06-01,"area","area_5",561701,429418,25806,454,106023
"salmon",2024-03-01,"area","area_3",789343,559391,33269,132,196551
"rainbowtrout",2023-04-01,"area","area_5",839871,672543,28590,589,138149
"salmon",2024-03-01,"area","area_4",602024,468693,19861,391,113079
"salmon",2020-04-01,"area","area_1",935945,716407,27213,622,191703
"salmon",2023-07-01,"area","area_5",742226,640046,34787,702,66691
"rainbowtrout",2022-10-01,"area","area_1",988702,719962,42862,834,225044
"salmon",2022-06-01,"area","area_4",604540,428873,28095,250,147322
"salmon",2023-08-01,"area","area_1",701042,627089,16882,593,56478
"salmon",2023-01-01,"area","area_1",726212,514035,28511,133,183533
"salmon",2021-10-01,"area","area_4",889692,727421,39100,279,122892
"salmon",2023-03-01,"area","area_3",721640,532406,26759,432,162043
"salmon",2023-05-01,"area","area_5",695142,543836,26683,367,124256
"salmon",2023-05-01,"area","area_3",921411,695653,45046,683,180029
"salmon",2023-04-01,"area","area_3",768935,580692,30462,299,157482
"rainbowtrout",2020-07-01,"area","area_5",892623,690523,33466,279,168355
"rainbowtrout",2023-02-01,"area","area_2",673534,571008,23491,216,78819
"rainbowtrout",2022-03-01,"area","area_1",577162,493619,28487,154,54902
"salmon",2023-06-01,"area","area_4",982328,756023,41552,644,184109
"salmon",2022-12-01,"area","area_3",993378,720863,21377,299,250839
"salmon",2023-11-01,"area","area_2",994473,752833,21684,405,219551
"salmon",2024-06-01,"area","area_4",809349,592193,40019,92,177045
"rainbowtrout",2021-05-01,"area","area_2",629808,458227,18779,599,152203
"salmon",2021-08-01,"area","area_4",710809,604732,23592,150,82335
"salmon",2020-02-01,"area","area_1",708082,620405,23439,491,63747
"salmon",2024-12-01,"area","area_5",555847,487844,27262,154,40587
"salmon",2024-06-01,"area","area_3",686209,536580,31018,553,118058
"rainbowtrout",2021-09-01,"area","area_1",851013,621554,30105,726,198628
"salmon",2024-11-01,"area","area_1",768702,573791,25628,365,168918
"salmon",2022-05-01,"area","area_5",630608,526952,30531,456,72669
"rainbowtrout",2020-04-01,"area","area_1",844190,658438,22021,627,163104
"salmon",2020-03-01,"area","area_1",988875,817452,27026,807,143590
"rainbowtrout",2021-08-01,"area","area_3",635199,452510,25751,119,156819
"rainbowtrout",2024-11-01,"area","area_1",846174,715663,18669,369,111473
"salmon",2020-12-01,"area","area_1",630211,499487,29054,570,101100
"rainbowtrout",2022-01-01,"area","area_1",833289,621181,31054,417,180637
"salmon",2023-03-01,"area","area_5",710981,612895,29793,681,67612
"salmon",2022-08-01,"area","area_2",804340,697157,17109,266,89808
"rainbowtrout",2021-12-01,"area","area_1",782314,584289,27973,770,169282
"rainbowtrout",2021-04-01,"area","area_2",855238,638166,39190,220,177662
"salmon",2024-04-01,"area","area_3",854773,704668,31987,202,117916
"rainbowtrout",2021-08-01,"area","area_2",847509,723992,35745,648,87124
"salmon",2024-05-01,"area","area_4",888996,699969,33277,393,155357
"rainbowtrout",2020-04-01,"area","area_3",881692,635517,27617,503,218055
"salmon",2024-05-01,"area","area_5",983872,717771,20606,831,244664
"rainbowtrout",2020-08-01,"area","area_3",836190,730024,22985,714,82467
"salmon",2024-10-01,"area","area_4",848377,635692,31040,555,181090
"salmon",2020-05-01,"area","area_5",985309,781283,42289,598,161139
"salmon",2020-02-01,"area","area_5",558621,431448,20215,494,106464
"rainbowtrout",2020-10-01,"area","area_3",789084,613366,20912,423,154383
"rainbowtrout",2020-11-01,"area","area_2",846640,743965,40027,692,61956
"salmon",2020-08-01,"area","area_1",703075,545114,30610,393,126958
"rainbowtrout",2023-09-01,"area","area_5",710776,560634,33185,605,116352
"rainbowtrout",2023-01-01,"area","area_4",556352,428736,23095,299,104222
"salmon",2021-05-01,"area","area_3",667040,568113,20058,364,78505
"rainbowtrout",2024-01-01,"area","area_3",637378,505620,13146,385,118227
"salmon",2021-01-01,"area","area_2",588854,478624,22449,476,87305
"salmon",2023-11-01,"area","area_1",995067,813598,33179,916,147374
"salmon",2024-08-01,"area","area_5",788304,705449,26564,384,55907
"rainbowtrout",2021-07-01,"area","area_4",696459,538087,23644,604,134124
"rainbowtrout",2020-07-01,"area","area_1",981663,771005,29336,308,181014
"rainbowtrout",2023-09-01,"area","area_3",877161,772407,38420,701,65633
"rainbowtrout",2020-01-01,"area","area_2",708279,579761,31812,214,96492
"rainbowtrout",2020-04-01,"area","area_2",981030,805717,34479,238,140596
"rainbowtrout",2020-12-01,"area","area_2",967841,730185,34471,536,202649
"salmon",2021-10-01,"area","area_3",636796,544145,23693,524,68434
"rainbowtrout",2024-02-01,"area","area_4",633100,540496,23056,222,69326
"rainbowtrout",2020-03-01,"area","area_4",575530,426962,25254,259,123055
"rainbowtrout",2023-11-01,"area","area_1",700405,603223,25650,539,70993
"salmon",2020-10-01,"area","area_1",557367,420109,21718,467,115073
"rainbowtrout",2024-03-01,"area","area_3",573092,448835,13078,407,110772
"salmon",2024-07-01,"area","area_2",819908,602059,28413,254,189182
"rainbowtrout",2024-12-01,"area","area_3",886580,751804,42229,640,91907
"rainbowtrout",2021-06-01,"area","area_3",544434,392225,13290,392,138527
"rainbowtrout",2022-03-01,"area","area_3",736629,616917,31161,589,87962
"salmon",2024-10-01,"area","area_2",524342,430938,21844,83,71477
"rainbowtrout",2023-08-01,"area","area_1",632224,515701,15614,387,100522
"salmon",2023-09-01,"area","area_3",984411,690305,40048,113,253945
"rainbowtrout",2022-06-01,"area","area_5",734444,632344,25171,704,76225
"salmon",2022-04-01,"area","area_1",970728,770506,35534,887,163801
"rainbowtrout",2024-04-01,"area","area_2",905993,687313,41008,301,177371
"rainbowtrout",2020-10-01,"area","area_1",753094,562929,36830,296,153039
"rainbowtrout",2024-06-01,"area","area_2",897451,629969,28536,151,238795
"rainbowtrout",2021-01-01,"area","area_4",821522,688630,21708,178,111006
"salmon",2021-11-01,"area","area_2",596525,431765,13826,391,150543
"salmon",2022-03-01,"area","area_2",638851,509475,24992,588,103796
"rainbowtrout",2022-04-01,"area","area_1",917973,738395,31361,745,147472
"rainbowtrout",2024-03-01,"area","area_4",842520,643457,31208,484,167371
"salmon",2022-04-01,"area","area_2",900355,744645,18347,517,136846
"rainbowtrout",2020-03-01,"area","area_5",831915,593723,29477,95,208620
"salmon",2022-12-01,"area","area_2",844792,608518,38852,684,196738
"rainbowtrout",2024-03-01,"area","area_2",858181,717527,40383,396,99875
"rainbowtrout",2023-09-01,"area","area_4",586617,473912,15079,408,97218
"rainbowtrout",2023-02-01,"area","area_4",681918,606170,30936,477,44335
"salmon",2022-11-01,"area","area_1",515353,433490,22744,402,58717
"salmon",2024-11-01,"area","area_4",667497,497153,18007,541,151796
"salmon",2020-09-01,"area","area_1",501690,379570,12702,330,109088
"salmon",2022-02-01,"area","area_2",715933,592472,31649,588,91224
"salmon",2020-11-01,"area","area_3",985447,714422,29418,220,241387
"salmon",2024-08-01,"area","area_2",599226,470845,24693,92,103596
"salmon",2022-11-01,"area","area_3",993422,724454,31376,168,237424
"rainbowtrout",2022-02-01,"area","area_4",866310,689366,38847,392,137705
"rainbowtrout",2023-12-01,"area","area_4",670780,561875,27210,584,81111
"salmon",2020-07-01,"area","area_4",878073,678013,38950,682,160428
"rainbowtrout",2024-06-01,"area","area_5",877635,625882,30556,151,221046
"salmon",2023-05-01,"area","area_4",675146,562045,13607,610,98884
"salmon",2021-01-01,"area","area_1",545638,410175,20081,266,115116
"salmon",2022-05-01,"area","area_1",803335,616094,34019,289,152933
"rainbowtrout",2022-11-01,"area","area_4",821988,617408,37312,172,167096
"salmon",2020-09-01,"area","area_5",571748,406240,11550,323,153635
"rainbowtrout",2020-10-01,"area","area_4",768300,656194,22695,714,88697
"salmon",2022-06-01,"area","area_3",607855,533021,30112,535,44187
"salmon",2022-09-01,"area","area_2",586224,426044,23280,114,136786
"rainbowtrout",2020-07-01,"area","area_4",904848,795607,36247,582,72412
"salmon",2020-07-01,"area","area_5",991865,778608,21708,182,191367
"salmon",2021-12-01,"area","area_1",829092,656052,18996,399,153645
"salmon",2022-07-01,"area","area_4",787475,617086,27804,771,141814
"rainbowtrout",2021-02-01,"area","area_1",945815,721458,40501,518,183338
"salmon",2023-01-01,"area","area_4",878564,638784,17572,808,221400
"rainbowtrout",2020-06-01,"area","area_1",833670,650172,29396,336,153766
"salmon",2022-02-01,"area","area_4",849099,688999,17515,368,142217
"rainbowtrout",2022-01-01,"area","area_4",507054,382095,12475,252,112232
"salmon",2022-01-01,"area","area_3",981978,804568,47726,503,129181
"salmon",2023-09-01,"area","area_4",718740,589674,25075,76,103915
"salmon",2020-11-01,"area","area_1",977196,833614,21485,805,121292
"salmon",2024-05-01,"area","area_2",722426,509552,27223,609,185042
"rainbowtrout",2023-06-01,"area","area_5",874448,635912,30811,157,207568
"salmon",2020-03-01,"area","area_3",799699,676332,31884,345,91138
"rainbowtrout",2022-12-01,"area","area_1",519340,448999,19953,270,50118
"salmon",2024-08-01,"area","area_1",591597,496591,11883,120,83003
"rainbowtrout",2022-06-01,"area","area_2",595769,513698,17731,144,64196
"salmon",2021-02-01,"area","area_2",885160,644703,43875,106,196476
"rainbowtrout",2020-06-01,"area","area_2",687701,491815,18088,90,177708
"salmon",2020-05-01,"area","area_3",878648,691086,17881,614,169067
"salmon",2021-10-01,"area","area_2",742544,581869,28786,101,131788
"rainbowtrout",2023-10-01,"area","area_5",592833,512968,16554,374,62937
"salmon",2020-03-01,"area","area_2",851021,609355,34387,419,206860
"salmon",2023-01-01,"area","area_3",756816,560583,30127,754,165352
"rainbowtrout",2021-07-01,"area","area_2",631174,507232,24333,555,99054
"rainbowtrout",2022-02-01,"area","area_3",822262,621119,30530,281,170332
"rainbowtrout",2024-01-01,"area","area_2",725569,535297,24018,506,165748
"rainbowtrout",2022-08-01,"area","area_3",962575,806390,31189,256,124740
"rainbowtrout",2021-07-01,"area","area_1",978200,825171,29727,851,122451
"rainbowtrout",2020-09-01,"area","area_2",777364,652922,17890,756,105796
"salmon",2023-10-01,"area","area_2",906108,802527,40363,832,62386
"rainbowtrout",2023-11-01,"area","area_2",648866,478953,31757,398,137758
"salmon",2024-01-01,"area","area_4",893216,694886,20356,223,177751
"salmon",2024-11-01,"area","area_5",994598,763771,28967,767,201093
"salmon",2023-01-01,"area","area_5",823070,691042,17478,531,114019
"rainbowtrout",2024-02-01,"area","area_2",548706,448398,18669,274,81365
"salmon",2024-10-01,"area","area_3",507031,437247,25194,277,44313
"salmon",2022-10-01,"area","area_5",915365,756883,39736,803,117943
"rainbowtrout",2024-09-01,"area","area_5",888436,674975,25962,634,186865
"rainbowtrout",2022-10-01,"area","area_2",745765,586285,27671,598,131211
"salmon",2023-10-01,"area","area_3",671696,570113,20022,461,81100
"rainbowtrout",2023-07-01,"area","area_2",970335,794926,19538,673,155198
"salmon",2020-02-01,"area","area_3",807813,635807,36655,394,134957
"salmon",2021-11-01,"area","area_5",807107,694513,29598,249,82747
"rainbowtrout",2024-11-01,"area","area_5",968900,736025,46516,458,185901
"rainbowtrout",2021-12-01,"area","area_2",551770,417270,12994,436,121070
"rainbowtrout",2022-04-01,"area","area_3",603501,503199,17049,459,82794
"rainbowtrout",2023-10-01,"area","area_1",891267,748425,41249,522,101071
"salmon",2020-07-01,"area","area_3",795819,590921,18964,546,185388
"salmon",2021-04-01,"area","area_5",708770,541718,21319,619,145114
"salmon",2020-03-01,"area","area_4",900090,714655,18624,513,166298
"rainbowtrout",2024-07-01,"area","area_4",816248,579400,23803,609,212436
"salmon",2021-12-01,"area","area_4",518248,456129,12063,53,50003
"rainbowtrout",2023-04-01,"area","area_3",728887,594724,21248,566,112349
"rainbowtrout",2021-01-01,"area","area_5",865509,725373,36547,247,103342
"rainbowtrout",2023-06-01,"area","area_3",851799,712786,27464,361,111188
"rainbowtrout",2024-01-01,"area","area_4",751688,624839,19072,549,107228
"salmon",2022-05-01,"area","area_2",888620,710352,28988,862,148418
"rainbowtrout",2020-01-01,"area","area_4",858262,653988,27142,359,176773
"rainbowtrout",2024-08-01,"area","area_1",784878,705242,24230,677,54729
"rainbowtrout",2023-12-01,"area","area_5",650254,556446,24025,419,69364
"salmon",2024-01-01,"area","area_3",745977,527293,23387,510,194787
"salmon",2024-07-01,"area","area_5",748537,643783,31970,671,72113
"salmon",2024-07-01,"area","area_1",933273,774832,40515,806,117120
"rainbowtrout",2020-09-01,"area","area_3",601391,434480,24837,199,141875
"rainbowtrout",2020-08-01,"area","area_5",748074,673118,32194,338,42424
"salmon",2023-04-01,"area","area_5",629187,519718,17924,431,91114
"salmon",2021-06-01,"area","area_5",723703,621780,16430,550,84943
"rainbowtrout",2022-11-01,"area","area_3",593897,440669,14378,330,138520
"rainbowtrout",2023-09-01,"area","area_2",809685,592972,25995,797,189921
"rainbowtrout",2023-03-01,"area","area_2",748760,669708,32391,223,46438
"rainbowtrout",2020-06-01,"area","area_5",872895,726611,30923,235,115126
"rainbowtrout",2021-11-01,"area","area_5",756213,678857,15437,584,61335
"salmon",2020-12-01,"area","area_5",826199,671094,36750,383,117972
"salmon",2022-03-01,"area","area_4",730819,546826,35577,355,148061
"rainbowtrout",2023-06-01,"area","area_4",584850,429136,27935,127,127652
"salmon",2022-09-01,"area","area_1",697414,585292,14328,379,97415
"rainbowtrout",2021-11-01,"area","area_2",957030,749276,32960,367,174427
"rainbowtrout",2024-06-01,"area","area_4",549729,438563,19762,352,91052
"salmon",2020-10-01,"area","area_2",592339,484546,26643,364,80786
"salmon",2023-12-01,"area","area_4",513468,382880,18456,385,111747
"salmon",2022-10-01,"area","area_1",781900,625989,21267,590,134054
"salmon",2020-08-01,"area","area_2",639739,552695,17740,379,68925
"salmon",2020-07-01,"area","area_2",766814,552004,18511,651,195648
"rainbowtrout",2020-01-01,"area","area_3",755586,590368,20574,179,144465
"salmon",2020-02-01,"area","area_2",865180,615956,42402,147,206675
"rainbowtrout",2021-03-01,"area","area_1",955914,722939,28518,226,204231
"salmon",2024-01-01,"area","area_2",888636,626043,37993,732,223868
"rainbowtrout",2021-06-01,"area","area_1",854042,754966,41608,417,57051
"rainbowtrout",2024-05-01,"area","area_4",719008,641233,15556,332,61887
"rainbowtrout",2024-02-01,"area","area_5",890534,782929,31775,821,75009
"rainbowtrout",2020-08-01,"area","area_1",763877,577178,23181,462,163056
"salmon",2020-09-01,"area","area_3",651232,540884,23324,476,86548
"rainbowtrout",2022-07-01,"area","area_2",633602,536074,22868,513,74147
"salmon",2022-08-01,"area","area_3",780991,597330,30199,167,153295
"salmon",2020-10-01,"area","area_5",949250,687914,26839,214,234283
"rainbowtrout",2024-09-01,"area","area_3",722557,509080,20781,281,192415
"salmon",2022-07-01,"area","area_3",976340,865798,48733,130,61679
"salmon",2020-07-01,"area","area_1",542336,450823,20512,79,70922
"rainbowtrout",2021-06-01,"area","area_5",972627,705012,36034,450,231131
"rainbowtrout",2022-08-01,"area","area_1",958061,747927,25742,792,183600
"salmon",2024-02-01,"area","area_5",648471,525156,15613,314,107388
"salmon",2021-05-01,"area","area_4",564461,463878,21102,116,79365
"rainbowtrout",2024-08-01,"area","area_4",568116,449499,26653,289,91675
"rainbowtrout",2021-09-01,"area","area_5",647236,556981,22166,537,67552
"salmon",2024-02-01,"area","area_3",890244,654656,26636,225,208727
"salmon",2021-07-01,"area","area_1",802886,585853,18938,483,197612
"salmon",2024-02-01,"area","area_2",684465,518812,30143,313,135197
"salmon",2021-03-01,"area","area_5",850010,652698,38807,283,158222
"salmon",2020-04-01,"area","area_5",987139,790688,48303,601,147547
"rainbowtrout",2020-05-01,"area","area_1",969776,771290,36606,484,161396
"rainbowtrout",2020-05-01,"area","area_5",732452,540063,36566,462,155361
"salmon",2023-07-01,"area","area_4",604026,516876,22399,337,64414
"rainbowtrout",2021-01-01,"area","area_1",579304,473267,25461,171,80405
"salmon",2023-09-01,"area","area_5",645639,525510,16642,254,103233
"salmon",2020-06-01,"area","area_3",709824,602118,25624,584,81498
"rainbowtrout",2022-04-01,"area","area_2",990547,821182,22840,302,146223
"rainbowtrout",2024-07-01,"area","area_2",698339,593467,34881,141,69850
"salmon",2024-01-01,"area","area_1",674574,547907,31488,228,94951
"rainbowtrout",2024-04-01,"area","area_5",809948,685854,35301,808,87985
"salmon",2022-01-01,"area","area_2",619749,513986,20698,467,84598
"rainbowtrout",2022-09-01,"area","area_4",706478,587755,34041,364,84318
"salmon",2022-05-01,"area","area_3",619709,536161,27589,552,55407
"rainbowtrout",2023-08-01,"area","area_5",550359,408134,26709,328,115188
"rainbowtrout",2021-01-01,"area","area_3",789883,621371,37076,211,131225
"salmon",2024-08-01,"area","area_4",675810,552636,27387,139,95648
"rainbowtrout",2020-07-01,"area","area_3",927980,813697,21822,618,91843
"salmon",2023-07-01,"area","area_2",904347,734619,25884,163,143681
"rainbowtrout",2024-06-01,"area","area_3",587469,476447,22962,330,87730
"rainbowtrout",2024-04-01,"area","area_3",650201,479171,30379,71,140580
"rainbowtrout",2020-02-01,"area","area_3",922979,753533,35703,689,133054
"rainbowtrout",2024-05-01,"area","area_3",928611,669173,37180,257,222001
"salmon",2021-09-01,"area","area_1",502309,391087,22063,372,88787
"salmon",2020-11-01,"area","area_5",931756,714089,43851,658,173158
"salmon",2020-01-01,"area","area_2",751998,606324,26454,703,118517
"salmon",2023-02-01,"area","area_2",683510,570382,31768,431,80929
"rainbowtrout",2020-08-01,"area","area_4",912039,659753,34089,144,218053
"rainbowtrout",2020-05-01,"area","area_3",721286,513488,28724,498,178576
