"species","date","geo_group","region","mean"
"rainbowtrout",2022-06-01,"area","area_3",11.62
"rainbowtrout",2022-07-01,"area","area_3",12.84
"rainbowtrout",2022-08-01,"area","area_3",13.49
"rainbowtrout",2022-09-01,"area","area_3",14.02
"rainbowtrout",2022-10-01,"area","area_3",16.61
"rainbowtrout",2022-11-01,"area","area_3",19.26
"rainbowtrout",2022-12-01,"area","area_3",21.49
"rainbowtrout",2023-01-01,"area","area_3",1.56
"rainbowtrout",2023-02-01,"area","area_3",2.77
"rainbowtrout",2023-03-01,"area","area_3",4.16
"rainbowtrout",2023-04-01,"area","area_3",6.78
"rainbowtrout",2023-05-01,"area","area_3",8.11
"rainbowtrout",2023-06-01,"area","area_3",10.77
"rainbowtrout",2023-07-01,"area","area_3",13.24
"rainbowtrout",2023-08-01,"area","area_3",15.9
"rainbowtrout",2023-09-01,"area","area_3",17.21
"rainbowtrout",2023-10-01,"area","area_3",19.67
"rainbowtrout",2023-11-01,"area","area_3",21.77
"rainbowtrout",2023-12-01,"area","area_3",24.48
"rainbowtrout",2024-01-01,"area","area_3",2.74
"rainbowtrout",2024-02-01,"area","area_3",4.81
"rainbowtrout",2024-03-01,"area","area_3",6.43
"rainbowtrout",2024-04-01,"area","area_3",8.06
"rainbowtrout",2024-05-01,"area","area_3",9.88
"rainbowtrout",2024-06-01,"area","area_3",12.65
"rainbowtrout",2024-07-01,"area","area_3",15.39
"rainbowtrout",2024-08-01,"area","area_3",16.27
"rainbowtrout",2024-09-01,"area","area_3",18.18
"rainbowtrout",2024-10-01,"area","area_3",20.85
"rainbowtrout",2024-11-01,"area","area_3",23.76
"rainbowtrout",2024-12-01,"area","area_3",25.12
"rainbowtrout",2025-01-01,"area","area_3",2.46
"rainbowtrout",2025-02-01,"area","area_3",3.27
"rainbowtrout",2025-03-01,"area","area_3",4.49
"rainbowtrout",2025-04-01,"area","area_3",6.59
"rainbowtrout",2025-05-01,"area","area_3",7.75
"rainbowtrout",2025-06-01,"area","area_3",10.63
"rainbowtrout",2025-07-01,"area","area_3",11.23
"rainbowtrout",2025-08-01,"area","area_3",11.82
"rainbowtrout",2025-09-01,"area","area_3",13.61
"rainbowtrout",2025-10-01,"area","area_3",16
"rainbowtrout",2025-11-01,"area","area_3",18.16
"rainbowtrout",2025-12-01,"area","area_3",20.69
"rainbowtrout",2021-01-01,"area","area_4",1.77
"rainbowtrout",2021-02-01,"area","area_4",2.69
"rainbowtrout",2021-03-01,"area","area_4",4.25
"rainbowtrout",2021-04-01,"area","area_4",5.98
"rainbowtrout",2021-05-01,"area","area_4",6.81
"rainbowtrout",2021-06-01,"area","area_4",9.42
"rainbowtrout",2021-07-01,"area","area_4",10.69
"rainbowtrout",2021-08-01,"area","area_4",12.95
"rainbowtrout",2021-09-01,"area","area_4",13.72
"rainbowtrout",2021-10-01,"area","area_4",14.67
"rainbowtrout",2021-11-01,"area","area_4",15.34
"rainbowtrout",2021-12-01,"area","area_4",17.75
"rainbowtrout",2022-01-01,"area","area_4",1.92
"rainbowtrout",2022-02-01,"area","area_4",4.05
"rainbowtrout",2022-03-01,"area","area_4",5.01
"rainbowtrout",2022-04-01,"area","area_4",6.85
"rainbowtrout",2022-05-01,"area","area_4",8.11
"rainbowtrout",2022-06-01,"area","area_4",10.8
"rainbowtrout",2022-07-01,"area","area_4",12.34
"rainbowtrout",2022-08-01,"area","area_4",14.34
"rainbowtrout",2022-09-01,"area","area_4",15.49
"rainbowtrout",2022-10-01,"area","area_4",16.59
"rainbowtrout",2022-11-01,"area","area_4",18.6
"rainbowtrout",2022-12-01,"area","area_4",21.57
"rainbowtrout",2023-01-01,"area","area_4",1.75
"rainbowtrout",2023-02-01,"area","area_4",3.03
"rainbowtrout",2023-03-01,"area","area_4",4.47
"rainbowtrout",2023-04-01,"area","area_4",6.93
"rainbowtrout",2023-05-01,"area","area_4",7.98
"rainbowtrout",2023-06-01,"area","area_4",10.44
"rainbowtrout",2023-07-01,"area","area_4",11.65
"rainbowtrout",2023-08-01,"area","area_4",13.82
"rainbowtrout",2023-09-01,"area","area_4",15.05
"rainbowtrout",2023-10-01,"area","area_4",16.45
"rainbowtrout",2023-11-01,"area","area_4",18.48
"rainbowtrout",2023-12-01,"area","area_4",20.34
"rainbowtrout",2024-01-01,"area","area_4",1.43
"rainbowtrout",2024-02-01,"area","area_4",1.95
"rainbowtrout",2024-03-01,"area","area_4",2.63
"rainbowtrout",2024-04-01,"area","area_4",3.59
"rainbowtrout",2024-05-01,"area","area_4",5.89
"rainbowtrout",2024-06-01,"area","area_4",6.57
"rainbowtrout",2024-07-01,"area","area_4",7.41
"rainbowtrout",2024-08-01,"area","area_4",9.89
"rainbowtrout",2024-09-01,"area","area_4",11.45
"rainbowtrout",2024-10-01,"area","area_4",12.09
"rainbowtrout",2024-11-01,"area","area_4",14.75
"rainbowtrout",2024-12-01,"area","area_4",15.29
"rainbowtrout",2025-01-01,"area","area_4",1.78
"rainbowtrout",2025-02-01,"area","area_4",4.44
"rainbowtrout",2025-03-01,"area","area_4",6.82
"rainbowtrout",2025-04-01,"area","area_4",7.43
"rainbowtrout",2025-05-01,"area","area_4",8.52
"rainbowtrout",2025-06-01,"area","area_4",10.65
"rainbowtrout",2025-07-01,"area","area_4",11.82
"rainbowtrout",2025-08-01,"area","area_4",13.15
"rainbowtrout",2025-09-01,"area","area_4",15.6
"rainbowtrout",2025-10-01,"area","area_4",17.27
"rainbowtrout",2025-11-01,"area","area_4",18.61
"rainbowtrout",2025-12-01,"area","area_4",19.85
"rainbowtrout",2021-01-01,"area","area_5",1.01
"rainbowtrout",2021-02-01,"area","area_5",3.14
"rainbowtrout",2021-03-01,"area","area_5",3.68
"rainbowtrout",2021-04-01,"area","area_5",5.71
"rainbowtrout",2021-05-01,"area","area_5",8.05
"rainbowtrout",2021-06-01,"area","area_5",9
"rainbowtrout",2021-07-01,"area","area_5",10.04
"rainbowtrout",2021-08-01,"area","area_5",11.99
"rainbowtrout",2021-09-01,"area","area_5",12.52
"rainbowtrout",2021-10-01,"area","area_5",14.93
"rainbowtrout",2021-11-01,"area","area_5",16.47
"rainbowtrout",2021-12-01,"area","area_5",17.29
"rainbowtrout",2022-01-01,"area","area_5",1.35
"rainbowtrout",2022-02-01,"area","area_5",4.18
"rainbowtrout",2022-03-01,"area","area_5",6.71
"rainbowtrout",2022-04-01,"area","area_5",9.14
"rainbowtrout",2022-05-01,"area","area_5",9.89
"rainbowtrout",2022-06-01,"area","area_5",12.16
"rainbowtrout",2022-07-01,"area","area_5",13.78
"rainbowtrout",2022-08-01,"area","area_5",14.71
"rainbowtrout",2022-09-01,"area","area_5",15.23
"rainbowtrout",2022-10-01,"area","area_5",15.79
"rainbowtrout",2022-11-01,"area","area_5",18.42
"rainbowtrout",2022-12-01,"area","area_5",19.34
"rainbowtrout",2023-01-01,"area","area_5",1.02
"rainbowtrout",2023-02-01,"area","area_5",3.95
"rainbowtrout",2023-03-01,"area","area_5",4.47
"rainbowtrout",2023-04-01,"area","area_5",5.97
"rainbowtrout",2023-05-01,"area","area_5",8.69
"rainbowtrout",2023-06-01,"area","area_5",9.36
"rainbowtrout",2023-07-01,"area","area_5",11.21
"rainbowtrout",2023-08-01,"area","area_5",12.59
"rainbowtrout",2023-09-01,"area","area_5",14.97
"rainbowtrout",2023-10-01,"area","area_5",15.76
"rainbowtrout",2023-11-01,"area","area_5",17.09
"rainbowtrout",2023-12-01,"area","area_5",19.28
"rainbowtrout",2024-01-01,"area","area_5",2.61
"rainbowtrout",2024-02-01,"area","area_5",3.83
"rainbowtrout",2024-03-01,"area","area_5",4.58
"rainbowtrout",2024-04-01,"area","area_5",5.09
"rainbowtrout",2024-05-01,"area","area_5",6.71
"rainbowtrout",2024-06-01,"area","area_5",7.42
"rainbowtrout",2024-07-01,"area","area_5",9.96
"rainbowtrout",2024-08-01,"area","area_5",11.42
"rainbowtrout",2024-09-01,"area","area_5",12.87
"rainbowtrout",2024-10-01,"area","area_5",14.99
"rainbowtrout",2024-11-01,"area","area_5",16.37
"rainbowtrout",2024-12-01,"area","area_5",16.88
"rainbowtrout",2025-01-01,"area","area_5",0.86
"rainbowtrout",2025-02-01,"area","area_5",1.52
"rainbowtrout",2025-03-01,"area","area_5",3.49
"rainbowtrout",2025-04-01,"area","area_5",6
"rainbowtrout",2025-05-01,"area","area_5",7.8
"rainbowtrout",2025-06-01,"area","area_5",10.72
"rainbowtrout",2025-07-01,"area","area_5",11.58
"rainbowtrout",2025-08-01,"area","area_5",13.73
"rainbowtrout",2025-09-01,"area","area_5",15.84
"rainbowtrout",2025-10-01,"area","area_5",17.28
"rainbowtrout",2025-11-01,"area","area_5",19.24
"rainbowtrout",2025-12-01,"area","area_5",20.45
"salmon",2021-01-01,"area","area_1",2.04
"salmon",2021-02-01,"area","area_1",4.03
"salmon",2021-03-01,"area","area_1",6.13
"salmon",2021-04-01,"area","area_1",7.51
"salmon",2021-05-01,"area","area_1",8.94
"salmon",2021-06-01,"area","area_1",11.56
"salmon",2021-07-01,"area","area_1",13.02
"salmon",2021-08-01,"area","area_1",13.85
"salmon",2021-09-01,"area","area_1",14.59
"salmon",2021-10-01,"area","area_1",17.54
"salmon",2021-11-01,"area","area_1",19.26
"salmon",2021-12-01,"area","area_1",19.99
"salmon",2022-01-01,"area","area_1",1.21
"salmon",2022-02-01,"area","area_1",4.19
"salmon",2022-03-01,"area","area_1",5.44
"salmon",2022-04-01,"area","area_1",6.01
"salmon",2022-05-01,"area","area_1",7.28
"salmon",2022-06-01,"area","area_1",8.99
"salmon",2022-07-01,"area","area_1",11.62
"salmon",2022-08-01,"area","area_1",12.45
"salmon",2022-09-01,"area","area_1",14.93
"salmon",2022-10-01,"area","area_1",16.81
"salmon",2022-11-01,"area","area_1",19.38
"salmon",2022-12-01,"area","area_1",20.42
"salmon",2023-01-01,"area","area_1",1.51
"salmon",2023-02-01,"area","area_1",2.72
"salmon",2023-03-01,"area","area_1",5.52
"salmon",2023-04-01,"area","area_1",7.42
"salmon",2023-05-01,"area","area_1",9.94
"salmon",2023-06-01,"area","area_1",11.38
"salmon",2023-07-01,"area","area_1",12.22
"salmon",2023-08-01,"area","area_1",12.95
"salmon",2023-09-01,"area","area_1",15.9
"salmon",2023-10-01,"area","area_1",18.46
"salmon",2023-11-01,"area","area_1",20.72
"salmon",2023-12-01,"area","area_1",22.64
"salmon",2024-01-01,"area","area_1",2.62
"salmon",2024-02-01,"area","area_1",5.38
"salmon",2024-03-01,"area","area_1",6.06
"salmon",2024-04-01,"area","area_1",7.49
"salmon",2024-05-01,"area","area_1",10.47
"salmon",2024-06-01,"area","area_1",13.09
"salmon",2024-07-01,"area","area_1",14.64
"salmon",2024-08-01,"area","area_1",15.24
"salmon",2024-09-01,"area","area_1",17.85
"salmon",2024-10-01,"area","area_1",19.14
"salmon",2024-11-01,"area","area_1",21.42
"salmon",2024-12-01,"area","area_1",23.98
"salmon",2025-01-01,"area","area_1",1.61
"salmon",2025-02-01,"area","area_1",4.44
"salmon",2025-03-01,"area","area_1",5.96
"salmon",2025-04-01,"area","area_1",6.57
"salmon",2025-05-01,"area","area_1",7.92
"salmon",2025-06-01,"area","area_1",8.81
"salmon",2025-07-01,"area","area_1",9.66
"salmon",2025-08-01,"area","area_1",10.44
"salmon",2025-09-01,"area","area_1",12.51
"salmon",2025-10-01,"area","area_1",14.68
"salmon",2025-11-01,"area","area_1",17.66
"salmon",2025-12-01,"area","area_1",18.25
"salmon",2021-01-01,"area","area_2",0.6
"salmon",2021-02-01,"area","area_2",1.82
"salmon",2021-03-01,"area","area_2",2.79
"salmon",2021-04-01,"area","area_2",4.94
"salmon",2021-05-01,"area","area_2",6.48
"salmon",2021-06-01,"area","area_2",9.04
"salmon",2021-07-01,"area","area_2",9.68
"salmon",2021-08-01,"area","area_2",10.61
"salmon",2021-09-01,"area","area_2",12.36
"salmon",2021-10-01,"area","area_2",15.08
"salmon",2021-11-01,"area","area_2",15.96
"salmon",2021-12-01,"area","area_2",16.66
"salmon",2022-01-01,"area","area_2",2.69
"salmon",2022-02-01,"area","area_2",5.67
"salmon",2022-03-01,"area","area_2",6.31
"salmon",2022-04-01,"area","area_2",7.29
"salmon",2022-05-01,"area","area_2",8.66
"salmon",2022-06-01,"area","area_2",11.13
"salmon",2022-07-01,"area","area_2",12.31
"salmon",2022-08-01,"area","area_2",13.23
"salmon",2022-09-01,"area","area_2",14.14
"salmon",2022-10-01,"area","area_2",16.42
"salmon",2022-11-01,"area","area_2",17.02
"salmon",2022-12-01,"area","area_2",17.57
"salmon",2023-01-01,"area","area_2",0.8
"salmon",2023-02-01,"area","area_2",1.66
"salmon",2023-03-01,"area","area_2",2.21
"salmon",2023-04-01,"area","area_2",4.86
"salmon",2023-05-01,"area","area_2",6.57
"salmon",2023-06-01,"area","area_2",9.29
"salmon",2023-07-01,"area","area_2",12.22
"salmon",2023-08-01,"area","area_2",15.1
"salmon",2023-09-01,"area","area_2",16.65
"salmon",2023-10-01,"area","area_2",18.94
"salmon",2023-11-01,"area","area_2",20.55
"salmon",2023-12-01,"area","area_2",22.94
"salmon",2024-01-01,"area","area_2",1.58
"salmon",2024-02-01,"area","area_2",2.08
"salmon",2024-03-01,"area","area_2",4.88
"salmon",2024-04-01,"area","area_2",6.09
"salmon",2024-05-01,"area","area_2",8.06
"salmon",2024-06-01,"area","area_2",10.47
"salmon",2024-07-01,"area","area_2",11.19
"salmon",2024-08-01,"area","area_2",14.15
"salmon",2024-09-01,"area","area_2",14.79
"salmon",2024-10-01,"area","area_2",15.96
"salmon",2024-11-01,"area","area_2",18.92
"salmon",2024-12-01,"area","area_2",21.25
"salmon",2025-01-01,"area","area_2",1.33
"salmon",2025-02-01,"area","area_2",3.9
"salmon",2025-03-01,"area","area_2",6.42
"salmon",2025-04-01,"area","area_2",7.22
"salmon",2025-05-01,"area","area_2",8.82
"salmon",2025-06-01,"area","area_2",10.98
"salmon",2025-07-01,"area","area_2",11.87
"salmon",2025-08-01,"area","area_2",13.63
"salmon",2025-09-01,"area","area_2",14.43
"salmon",2025-10-01,"area","area_2",15.13
"salmon",2025-11-01,"area","area_2",16.9
"salmon",2025-12-01,"area","area_2",17.63
"salmon",2021-01-01,"area","area_3",2.67
"salmon",2021-02-01,"area","area_3",5.47
"salmon",2021-03-01,"area","area_3",6.51
"salmon",2021-04-01,"area","area_3",7.1
"salmon",2021-05-01,"area","area_3",9.22
"salmon",2021-06-01,"area","area_3",10.37
"salmon",2021-07-01,"area","area_3",11.19
"salmon",2021-08-01,"area","area_3",13.26
"salmon",2021-09-01,"area","area_3",15.89
"salmon",2021-10-01,"area","area_3",17.51
"salmon",2021-11-01,"area","area_3",19.99
"salmon",2021-12-01,"area","area_3",22.32
"salmon",2022-01-01,"area","area_3",0.74
"salmon",2022-02-01,"area","area_3",3.58
"salmon",2022-03-01,"area","area_3",6.24
"salmon",2022-04-01,"area","area_3",8.62
"salmon",2022-05-01,"area","area_3",9.38
"salmon",2022-06-01,"area","area_3",11.62
"salmon",2022-07-01,"area","area_3",12.27
"salmon",2022-08-01,"area","area_3",13.85
"salmon",2022-09-01,"area","area_3",15.8
"salmon",2022-10-01,"area","area_3",18.19
"salmon",2022-11-01,"area","area_3",19.66
"salmon",2022-12-01,"area","area_3",21.43
"salmon",2023-01-01,"area","area_3",1.42
"salmon",2023-02-01,"area","area_3",2.58
"salmon",2023-03-01,"area","area_3",3.69
"salmon",2023-04-01,"area","area_3",6.58
"salmon",2023-05-01,"area","area_3",7.76
"salmon",2023-06-01,"area","area_3",8.97
"salmon",2023-07-01,"area","area_3",10.42
"salmon",2023-08-01,"area","area_3",13.4
"salmon",2023-09-01,"area","area_3",15.29
"salmon",2023-10-01,"area","area_3",18.15
"salmon",2023-11-01,"area","area_3",19.71
"salmon",2023-12-01,"area","area_3",21.16
"salmon",2024-01-01,"area","area_3",0.99
"salmon",2024-02-01,"area","area_3",3.87
"salmon",2024-03-01,"area","area_3",5.02
"salmon",2024-04-01,"area","area_3",7.56
"salmon",2024-05-01,"area","area_3",10.34
"salmon",2024-06-01,"area","area_3",11.09
"salmon",2024-07-01,"area","area_3",12.03
"salmon",2024-08-01,"area","area_3",12.73
"salmon",2024-09-01,"area","area_3",13.39
"salmon",2024-10-01,"area","area_3",13.93
"salmon",2024-11-01,"area","area_3",15.81
"salmon",2024-12-01,"area","area_3",17.02
"salmon",2025-01-01,"area","area_3",2.3
"salmon",2025-02-01,"area","area_3",3.82
"salmon",2025-03-01,"area","area_3",6.67
"salmon",2025-04-01,"area","area_3",7.78
"salmon",2025-05-01,"area","area_3",10.09
"salmon",2025-06-01,"area","area_3",12.88
"salmon",2025-07-01,"area","area_3",14.11
"salmon",2025-08-01,"area","area_3",14.74
"salmon",2025-09-01,"area","area_3",16.23
"salmon",2025-10-01,"area","area_3",19.22
"salmon",2025-11-01,"area","area_3",20.32
"salmon",2025-12-01,"area","area_3",22.06
"salmon",2021-01-01,"area","area_4",0.73
"salmon",2021-02-01,"area","area_4",2.42
"salmon",2021-03-01,"area","area_4",4.19
"salmon",2021-04-01,"area","area_4",5.04
"salmon",2021-05-01,"area","area_4",7.09
"salmon",2021-06-01,"area","area_4",9.58
"salmon",2021-07-01,"area","area_4",10.93
"salmon",2021-08-01,"area","area_4",12.33
"salmon",2021-09-01,"area","area_4",13.36
"salmon",2021-10-01,"area","area_4",14.8
"salmon",2021-11-01,"area","area_4",17.21
"salmon",2021-12-01,"area","area_4",18.29
"salmon",2022-01-01,"area","area_4",1.98
"salmon",2022-02-01,"area","area_4",3.94
"salmon",2022-03-01,"area","area_4",5.76
"salmon",2022-04-01,"area","area_4",6.6
"salmon",2022-05-01,"area","area_4",7.84
"salmon",2022-06-01,"area","area_4",8.95
"salmon",2022-07-01,"area","area_4",11.31
"salmon",2022-08-01,"area","area_4",12.49
"salmon",2022-09-01,"area","area_4",13.39
"salmon",2022-10-01,"area","area_4",15.11
"salmon",2022-11-01,"area","area_4",17.45
"salmon",2022-12-01,"area","area_4",19.74
"salmon",2023-01-01,"area","area_4",2.9
"salmon",2023-02-01,"area","area_4",5.83
"salmon",2023-03-01,"area","area_4",7.35
"salmon",2023-04-01,"area","area_4",8.64
"salmon",2023-05-01,"area","area_4",11.05
"salmon",2023-06-01,"area","area_4",12.01
"salmon",2023-07-01,"area","area_4",14.2
"salmon",2023-08-01,"area","area_4",17.01
"salmon",2023-09-01,"area","area_4",18.24
"salmon",2023-10-01,"area","area_4",18.86
"salmon",2023-11-01,"area","area_4",19.51
"salmon",2023-12-01,"area","area_4",20.35
"salmon",2024-01-01,"area","area_4",2.86
"salmon",2024-02-01,"area","area_4",4.21
"salmon",2024-03-01,"area","area_4",6.36
"salmon",2024-04-01,"area","area_4",8.24
"salmon",2024-05-01,"area","area_4",9.42
"salmon",2024-06-01,"area","area_4",10.81
"salmon",2024-07-01,"area","area_4",13.51
"salmon",2024-08-01,"area","area_4",15.65
"salmon",2024-09-01,"area","area_4",17.7
"salmon",2024-10-01,"area","area_4",19.69
"salmon",2024-11-01,"area","area_4",20.62
"salmon",2024-12-01,"area","area_4",23.58
"salmon",2025-01-01,"area","area_4",2.99
"salmon",2025-02-01,"area","area_4",5.45
"salmon",2025-03-01,"area","area_4",7.02
"salmon",2025-04-01,"area","area_4",8.73
"salmon",2025-05-01,"area","area_4",9.56
"salmon",2025-06-01,"area","area_4",10.92
"salmon",2025-07-01,"area","area_4",13.83
"salmon",2025-08-01,"area","area_4",16.58
"salmon",2025-09-01,"area","area_4",17.69
"salmon",2025-10-01,"area","area_4",18.22
"salmon",2025-11-01,"area","area_4",20.67
"salmon",2025-12-01,"area","area_4",21.89
"salmon",2021-01-01,"area","area_5",1.3
"salmon",2021-02-01,"area","area_5",3.17
"salmon",2021-03-01,"area","area_5",4.1
"salmon",2021-04-01,"area","area_5",5.56
"salmon",2021-05-01,"area","area_5",6.11
"salmon",2021-06-01,"area","area_5",8.48
"salmon",2021-07-01,"area","area_5",9.95
"salmon",2021-08-01,"area","area_5",11.05
"salmon",2021-09-01,"area","area_5",13.35
"salmon",2021-10-01,"area","area_5",14.81
"salmon",2021-11-01,"area","area_5",16.6
"salmon",2021-12-01,"area","area_5",17.86
"salmon",2022-01-01,"area","area_5",0.76
"salmon",2022-02-01,"area","area_5",3.51
"salmon",2022-03-01,"area","area_5",4.79
