"species","date","geo_group","region","median","q1","q3"
"salmon",2024-03-01,"area","area_2",1.17,0.43,1.72
"rainbowtrout",2023-04-01,"area","area_5",1.1,0.21,2.07
"salmon",2023-08-01,"area","area_5",0.9,0.3,1.99
"salmon",2024-07-01,"area","area_3",0.53,0.44,2.09
"salmon",2022-01-01,"area","area_5",1.3,0.37,1.87
"salmon",2021-05-01,"area","area_5",0.94,0.13,2.49
"rainbowtrout",2023-05-01,"area","area_1",0.88,0.1,1.97
"rainbowtrout",2023-06-01,"area","area_2",0.98,0.49,2.4
"rainbowtrout",2021-10-01,"area","area_1",1.14,0.18,1.55
"rainbowtrout",2023-06-01,"area","area_1",1.38,0.4,2
"salmon",2025-06-01,"area","area_1",1.4,0.27,1.88
"rainbowtrout",2024-01-01,"area","area_3",0.98,0.34,2.1
"rainbowtrout",2021-12-01,"area","area_4",1.45,0.15,2.17
"rainbowtrout",2025-10-01,"area","area_1",1.06,0.35,2.42
"salmon",2024-07-01,"area","area_2",0.93,0.3,1.82
"salmon",2024-09-01,"area","area_3",1.34,0.25,1.95
"rainbowtrout",2023-09-01,"area","area_1",1.22,0.22,1.91
"salmon",2024-02-01,"area","area_1",0.58,0.15,2.36
"salmon",2021-11-01,"area","area_4",1.08,0.12,2.17
"rainbowtrout",2022-12-01,"area","area_4",0.88,0.35,2.28
"salmon",2023-06-01,"area","area_3",1.18,0.44,1.7
"salmon",2022-06-01,"area","area_3",1.36,0.36,2.02
"rainbowtrout",2022-11-01,"area","area_2",1.39,0.46,1.86
"salmon",2021-03-01,"area","area_4",0.56,0.47,1.57
"rainbowtrout",2021-11-01,"area","area_1",1.26,0.45,2.16
"rainbowtrout",2021-12-01,"area","area_5",0.51,0.13,2.42
"rainbowtrout",2022-12-01,"area","area_2",1.42,0.21,2.39
"salmon",2025-06-01,"area","area_3",0.86,0.36,1.52
"salmon",2021-07-01,"area","area_4",0.96,0.46,1.77
"salmon",2023-01-01,"area","area_5",1.31,0.37,2.15
"salmon",2024-11-01,"area","area_1",1.42,0.46,1.84
"rainbowtrout",2022-09-01,"area","area_3",0.88,0.19,2.28
"rainbowtrout",2022-01-01,"area","area_2",0.67,0.48,2.24
"rainbowtrout",2025-01-01,"area","area_1",1.4,0.36,2.07
"salmon",2021-02-01,"area","area_1",1.06,0.36,2.27
"salmon",2021-05-01,"area","area_1",0.54,0.31,2.42
"salmon",2024-10-01,"area","area_1",1.32,0.28,2.42
"rainbowtrout",2023-03-01,"area","area_5",0.59,0.29,2.22
"rainbowtrout",2021-07-01,"area","area_1",0.84,0.24,2.18
"salmon",2025-02-01,"area","area_5",0.71,0.29,2.08
"salmon",2025-10-01,"area","area_3",1,0.42,1.85
"rainbowtrout",2025-02-01,"area","area_4",0.7,0.36,2.34
"rainbowtrout",2024-10-01,"area","area_3",0.89,0.47,2.27
"salmon",2023-11-01,"area","area_4",0.83,0.13,1.81
"salmon",2021-03-01,"area","area_1",1.21,0.16,2.33
"salmon",2023-05-01,"area","area_3",1.12,0.49,2.25
"rainbowtrout",2024-07-01,"area","area_5",1.21,0.2,2.09
"salmon",2025-10-01,"area","area_5",0.87,0.31,2.37
"rainbowtrout",2021-03-01,"area","area_4",0.93,0.21,1.77
"rainbowtrout",2025-08-01,"area","area_1",1.12,0.44,1.73
"rainbowtrout",2024-12-01,"area","area_5",1.24,0.25,1.77
"salmon",2023-09-01,"area","area_4",0.72,0.26,1.62
"salmon",2022-01-01,"area","area_3",0.5,0.32,1.65
"salmon",2023-12-01,"area","area_3",0.86,0.44,2.38
"salmon",2021-09-01,"area","area_4",0.71,0.4,2.15
"salmon",2024-05-01,"area","area_1",0.75,0.46,2.11
"rainbowtrout",2021-01-01,"area","area_2",1.31,0.25,1.59
"rainbowtrout",2025-02-01,"area","area_1",0.59,0.33,2.34
"rainbowtrout",2023-10-01,"area","area_1",1.28,0.24,2.22
"salmon",2021-12-01,"area","area_1",0.72,0.46,2.1
"rainbowtrout",2024-05-01,"area","area_4",1.26,0.31,2.14
"salmon",2025-01-01,"area","area_1",1.45,0.28,2.41
"rainbowtrout",2024-06-01,"area","area_5",1.39,0.11,2.04
"salmon",2022-11-01,"area","area_5",1.38,0.41,2.02
"rainbowtrout",2022-08-01,"area","area_3",1.42,0.22,2.18
"salmon",2021-12-01,"area","area_4",0.91,0.11,1.92
"rainbowtrout",2021-06-01,"area","area_2",0.62,0.35,1.82
"salmon",2021-06-01,"area","area_3",1.23,0.2,1.72
"salmon",2021-04-01,"area","area_3",1.37,0.34,2.03
"rainbowtrout",2022-07-01,"area","area_4",0.87,0.48,1.98
"rainbowtrout",2021-03-01,"area","area_1",0.66,0.38,1.66
"rainbowtrout",2025-12-01,"area","area_2",1.32,0.33,1.77
"rainbowtrout",2021-09-01,"area","area_4",0.79,0.16,2
"rainbowtrout",2023-03-01,"area","area_3",0.54,0.3,1.8
"rainbowtrout",2024-11-01,"area","area_4",0.58,0.39,1.6
"rainbowtrout",2021-12-01,"area","area_2",0.79,0.2,1.72
"rainbowtrout",2025-09-01,"area","area_5",0.77,0.39,2.4
"rainbowtrout",2023-05-01,"area","area_3",1.47,0.39,1.8
"salmon",2024-03-01,"area","area_5",1.05,0.37,2.44
"rainbowtrout",2021-03-01,"area","area_2",1.33,0.15,1.91
"salmon",2025-01-01,"area","area_5",1.28,0.26,2.42
"salmon",2022-10-01,"area","area_1",1.47,0.4,2.45
"rainbowtrout",2022-06-01,"area","area_3",1.02,0.32,2.18
"salmon",2023-04-01,"area","area_1",1.18,0.32,1.95
"salmon",2021-11-01,"area","area_1",1.06,0.24,2.03
"salmon",2022-07-01,"area","area_1",1.47,0.2,2.3
"rainbowtrout",2022-12-01,"area","area_5",0.87,0.24,1.69
"salmon",2024-03-01,"area","area_3",1.44,0.32,1.58
"rainbowtrout",2022-09-01,"area","area_2",0.5,0.18,1.65
"salmon",2022-08-01,"area","area_2",1.2,0.17,2.11
"salmon",2022-12-01,"area","area_5",1.18,0.33,1.81
"salmon",2023-09-01,"area","area_1",0.64,0.37,1.53
"rainbowtrout",2024-12-01,"area","area_4",0.93,0.43,2.25
"rainbowtrout",2022-03-01,"area","area_2",1.2,0.16,2.39
"rainbowtrout",2022-02-01,"area","area_5",0.54,0.29,1.53
"salmon",2021-06-01,"area","area_4",1.19,0.15,1.75
"rainbowtrout",2025-06-01,"area","area_4",1,0.35,1.84
"rainbowtrout",2022-02-01,"area","area_1",1.09,0.43,1.68
"salmon",2023-08-01,"area","area_4",0.98,0.24,2.05
"rainbowtrout",2021-01-01,"area","area_1",0.72,0.3,1.52
"salmon",2021-10-01,"area","area_3",1.09,0.42,1.77
"salmon",2022-04-01,"area","area_2",0.98,0.16,2.31
"rainbowtrout",2022-03-01,"area","area_3",0.66,0.24,2.2
"salmon",2023-02-01,"area","area_3",0.81,0.32,1.86
"rainbowtrout",2024-06-01,"area","area_4",1,0.22,2.45
"salmon",2024-06-01,"area","area_5",1.07,0.41,1.88
"rainbowtrout",2024-09-01,"area","area_5",1.03,0.16,1.76
"rainbowtrout",2021-06-01,"area","area_5",1.34,0.12,2.48
"salmon",2022-10-01,"area","area_2",0.88,0.11,2.25
"rainbowtrout",2025-07-01,"area","area_2",1.48,0.27,2.29
"rainbowtrout",2023-02-01,"area","area_2",1.29,0.35,1.65
"salmon",2024-04-01,"area","area_3",0.77,0.18,2.29
"salmon",2023-03-01,"area","area_5",0.55,0.41,1.94
"salmon",2023-11-01,"area","area_5",0.65,0.44,2.17
"rainbowtrout",2024-11-01,"area","area_3",1.48,0.27,2.01
"rainbowtrout",2025-03-01,"area","area_4",1.26,0.39,1.54
"salmon",2022-07-01,"area","area_4",1.45,0.18,1.64
"salmon",2024-01-01,"area","area_4",0.94,0.16,1.62
"rainbowtrout",2025-12-01,"area","area_4",1.1,0.33,1.97
"rainbowtrout",2022-10-01,"area","area_3",1.46,0.18,1.69
"rainbowtrout",2021-11-01,"area","area_4",0.73,0.19,1.62
"rainbowtrout",2024-01-01,"area","area_2",1.21,0.47,2.32
"salmon",2021-10-01,"area","area_4",1.39,0.22,1.62
"rainbowtrout",2021-07-01,"area","area_3",1.25,0.3,1.66
"rainbowtrout",2024-08-01,"area","area_2",1.38,0.45,2.31
"rainbowtrout",2022-02-01,"area","area_3",1.03,0.18,1.67
"salmon",2022-05-01,"area","area_2",1.3,0.36,1.85
"rainbowtrout",2023-09-01,"area","area_5",1.35,0.28,1.53
"salmon",2023-01-01,"area","area_3",0.93,0.13,2.09
"salmon",2022-12-01,"area","area_1",0.73,0.17,2.25
"salmon",2024-12-01,"area","area_3",0.77,0.39,2.13
"salmon",2021-11-01,"area","area_3",0.61,0.15,1.77
"rainbowtrout",2025-11-01,"area","area_1",1.14,0.27,2.49
"rainbowtrout",2021-04-01,"area","area_1",1.44,0.37,1.7
"salmon",2023-07-01,"area","area_4",1.24,0.14,1.66
"rainbowtrout",2024-11-01,"area","area_2",0.69,0.18,2.24
"rainbowtrout",2024-03-01,"area","area_1",1.05,0.21,1.63
"rainbowtrout",2021-05-01,"area","area_5",0.62,0.34,1.82
"salmon",2022-11-01,"area","area_1",0.89,0.21,1.93
"salmon",2024-08-01,"area","area_4",1.31,0.16,1.81
"rainbowtrout",2025-10-01,"area","area_2",1.23,0.47,1.88
"rainbowtrout",2024-04-01,"area","area_1",0.7,0.22,1.85
"rainbowtrout",2022-08-01,"area","area_2",0.61,0.29,2.21
"salmon",2024-10-01,"area","area_5",1.44,0.3,1.8
"rainbowtrout",2024-11-01,"area","area_5",1.38,0.36,2.24
"rainbowtrout",2025-06-01,"area","area_3",1.48,0.36,2.15
"rainbowtrout",2023-01-01,"area","area_5",0.51,0.24,2.29
"salmon",2021-08-01,"area","area_5",0.59,0.48,2.43
"salmon",2023-11-01,"area","area_3",0.68,0.36,1.68
"salmon",2024-09-01,"area","area_4",0.75,0.37,1.99
"salmon",2024-01-01,"area","area_1",0.72,0.27,2.02
"salmon",2021-06-01,"area","area_2",0.82,0.39,2.36
"salmon",2021-05-01,"area","area_4",0.81,0.39,2.28
"salmon",2022-10-01,"area","area_4",1.42,0.2,1.54
"salmon",2023-12-01,"area","area_5",1.33,0.33,1.66
"rainbowtrout",2023-12-01,"area","area_3",1.05,0.16,2.14
"salmon",2022-11-01,"area","area_4",1.37,0.44,1.75
"salmon",2024-12-01,"area","area_4",1.02,0.32,1.84
"rainbowtrout",2023-10-01,"area","area_3",0.77,0.48,1.72
"salmon",2021-02-01,"area","area_3",0.56,0.14,1.8
"salmon",2024-06-01,"area","area_2",1.16,0.31,1.64
"salmon",2024-08-01,"area","area_5",1.03,0.37,2.39
"rainbowtrout",2025-02-01,"area","area_5",0.59,0.17,2.4
"salmon",2025-10-01,"area","area_1",0.63,0.25,1.89
"salmon",2023-07-01,"area","area_2",1.09,0.25,1.67
"rainbowtrout",2023-08-01,"area","area_2",0.74,0.15,1.56
"rainbowtrout",2025-04-01,"area","area_3",1.08,0.12,2.29
"salmon",2025-04-01,"area","area_1",1.07,0.47,1.61
"rainbowtrout",2024-02-01,"area","area_3",0.66,0.4,2.21
"rainbowtrout",2022-04-01,"area","area_2",1.18,0.37,1.74
"salmon",2025-02-01,"area","area_2",0.89,0.25,2.47
"salmon",2024-10-01,"area","area_3",0.66,0.11,1.98
"salmon",2023-02-01,"area","area_2",1.38,0.3,2.01
"salmon",2021-07-01,"area","area_5",1.14,0.18,1.65
"salmon",2021-01-01,"area","area_2",1.13,0.17,2.42
"rainbowtrout",2024-07-01,"area","area_4",1.48,0.48,2.34
"salmon",2022-11-01,"area","area_2",0.77,0.18,2.35
"salmon",2024-09-01,"area","area_2",0.72,0.23,2.42
"salmon",2024-04-01,"area","area_5",1,0.12,1.76
"rainbowtrout",2023-07-01,"area","area_5",0.77,0.26,2.28
"salmon",2023-03-01,"area","area_3",1.13,0.14,1.94
"salmon",2022-12-01,"area","area_4",1.17,0.33,2.48
"salmon",2021-12-01,"area","area_5",1.45,0.36,1.99
"rainbowtrout",2021-08-01,"area","area_1",1.35,0.25,2.12
"rainbowtrout",2023-12-01,"area","area_5",0.66,0.36,1.81
"salmon",2021-03-01,"area","area_3",0.95,0.12,2.47
"rainbowtrout",2023-12-01,"area","area_4",0.63,0.16,1.84
"salmon",2022-10-01,"area","area_3",1.3,0.3,2.13
"salmon",2024-12-01,"area","area_5",1.06,0.2,2.12
"salmon",2025-03-01,"area","area_4",0.83,0.18,1.74
"salmon",2024-01-01,"area","area_3",1.06,0.37,2
"salmon",2025-07-01,"area","area_2",1.28,0.4,1.54
"salmon",2024-11-01,"area","area_4",1.42,0.41,1.57
"rainbowtrout",2024-03-01,"area","area_4",0.97,0.48,1.71
"rainbowtrout",2022-07-01,"area","area_2",1.43,0.46,2.47
"rainbowtrout",2025-06-01,"area","area_5",0.8,0.27,2.25
"salmon",2022-04-01,"area","area_3",0.83,0.19,2
"rainbowtrout",2022-02-01,"area","area_2",1.26,0.3,2.39
"rainbowtrout",2021-01-01,"area","area_3",0.51,0.38,1.82
"salmon",2024-09-01,"area","area_5",1.21,0.47,1.93
"rainbowtrout",2024-07-01,"area","area_2",1.17,0.2,2.26
"salmon",2022-09-01,"area","area_4",1.08,0.14,2.46
"rainbowtrout",2025-03-01,"area","area_1",0.7,0.3,1.84
"rainbowtrout",2021-06-01,"area","area_1",1.32,0.21,1.58
"salmon",2024-05-01,"area","area_2",0.59,0.12,1.66
"rainbowtrout",2025-07-01,"area","area_4",0.66,0.12,1.79
"salmon",2022-03-01,"area","area_5",1.09,0.24,1.7
"rainbowtrout",2024-02-01,"area","area_4",1.3,0.37,2.22
"salmon",2021-11-01,"area","area_2",0.94,0.24,2.25
"salmon",2022-03-01,"area","area_2",1.24,0.46,2.45
"salmon",2021-05-01,"area","area_3",1.18,0.17,2.02
"rainbowtrout",2023-10-01,"area","area_2",1.4,0.3,1.79
"rainbowtrout",2021-01-01,"area","area_5",1.26,0.42,2.47
"salmon",2021-02-01,"area","area_4",1.28,0.23,2.34
"salmon",2024-05-01,"area","area_5",0.75,0.4,1.81
"salmon",2024-04-01,"area","area_1",0.58,0.27,1.91
"salmon",2025-12-01,"area","area_4",0.87,0.13,1.76
"rainbowtrout",2022-05-01,"area","area_2",0.68,0.24,1.81
"rainbowtrout",2022-08-01,"area","area_5",1.18,0.42,1.55
"rainbowtrout",2021-10-01,"area","area_5",0.95,0.1,1.92
"salmon",2023-01-01,"area","area_4",1.26,0.31,2.17
"salmon",2024-07-01,"area","area_5",1.38,0.29,2.35
"rainbowtrout",2022-11-01,"area","area_5",1.16,0.47,1.9
"rainbowtrout",2022-09-01,"area","area_1",0.73,0.2,1.57
"rainbowtrout",2025-05-01,"area","area_5",0.82,0.24,2.02
"salmon",2024-10-01,"area","area_2",0.71,0.16,2.27
"rainbowtrout",2025-08-01,"area","area_5",1.24,0.24,1.87
"rainbowtrout",2025-09-01,"area","area_1",1.39,0.47,2.44
"rainbowtrout",2024-05-01,"area","area_1",0.52,0.34,1.93
"salmon",2021-12-01,"area","area_3",1.03,0.37,2.19
"rainbowtrout",2024-08-01,"area","area_4",1.21,0.27,2.19
"salmon",2023-01-01,"area","area_1",0.64,0.4,1.81
"salmon",2021-10-01,"area","area_1",1,0.22,2.49
"rainbowtrout",2025-05-01,"area","area_1",1.24,0.38,1.66
"salmon",2021-10-01,"area","area_5",1.35,0.36,2.24
"rainbowtrout",2021-09-01,"area","area_5",1.24,0.49,2.45
"salmon",2021-01-01,"area","area_1",1.01,0.14,2.04
"rainbowtrout",2024-09-01,"area","area_4",1.32,0.11,2.34
"salmon",2024-11-01,"area","area_2",0.91,0.44,2.23
"rainbowtrout",2021-04-01,"area","area_3",1.21,0.28,2.27
"rainbowtrout",2022-04-01,"area","area_3",1.48,0.17,2.26
"salmon",2022-02-01,"area","area_4",1.14,0.42,2.01
"rainbowtrout",2023-01-01,"area","area_3",0.58,0.25,1.66
"salmon",2023-05-01,"area","area_4",0.53,0.3,1.65
"salmon",2023-08-01,"area","area_1",0.62,0.34,2.4
"salmon",2021-04-01,"area","area_4",0.58,0.37,2.22
"rainbowtrout",2023-08-01,"area","area_4",0.94,0.11,2.29
"salmon",2025-08-01,"area","area_3",1.2,0.37,2.2
"rainbowtrout",2023-02-01,"area","area_1",1.34,0.32,1.54
"salmon",2023-02-01,"area","area_1",1.27,0.15,2.35
"rainbowtrout",2024-03-01,"area","area_2",0.59,0.47,2.15
"rainbowtrout",2024-06-01,"area","area_3",0.68,0.26,2.25
"rainbowtrout",2021-12-01,"area","area_3",1.44,0.38,2.05
"rainbowtrout",2024-04-01,"area","area_3",1.09,0.47,1.68
"rainbowtrout",2021-11-01,"area","area_2",0.74,0.14,1.77
"salmon",2021-02-01,"area","area_2",0.96,0.19,1.76
"salmon",2024-09-01,"area","area_1",0.87,0.4,1.51
"salmon",2024-12-01,"area","area_1",1.07,0.24,2.25
"rainbowtrout",2025-03-01,"area","area_2",0.53,0.36,2.23
